Name,Size,AC,HP,Strength,Dexterity,Constitution,Intelligence,Wisdom,Charisma,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,CR
Adult Red Dracolich,Huge,19 (natural armor),11.36094674556213,27,10,25,16,13,21,4,2,0,1,2,5,17
Adult Red Dragon,Huge,19 (natural armor),11.36094674556213,27,10,25,16,13,21,4,2,0,0,1,0,17
Adult Sapphire Dragon,Huge,18 (natural armor),9.985207100591715,23,14,22,18,17,18,4,4,0,2,0,1,15
Adult Silver Dragon,Huge,19 (natural armor),10.784023668639053,27,10,25,16,13,21,4,4,0,0,1,0,16
Adult Solar Dragon,Huge,17 (natural armor),8.875739644970414,24,15,22,15,16,14,4,2,0,0,1,1,14
Adult Topaz Dragon,Huge,18 (natural armor),9.319526627218934,19,12,19,18,17,18,4,3,0,2,0,0,13
Adult White Dragon,Huge,18 (natural armor),8.875739644970414,22,10,22,8,12,12,4,2,0,0,1,0,13
Aeorian Absorber,Large,15 (natural armor),7.5887573964497035,21,18,18,6,14,8,2,3,0,0,2,0,10
Aeorian Nullifier,Large,17 (natural armor),7.988165680473372,19,14,18,7,14,18,2,2,0,0,2,0,12
Aeorian Reverser,Large,15 (natural armor),5.902366863905325,21,16,18,6,14,8,2,3,0,0,2,0,8
Air Elemental,Large,15,3.994082840236686,14,20,14,6,10,6,0,0,0,4,1,8,5
Air Elemental Myrmidon,Medium,18 (plate),5.192307692307692,18,14,14,9,10,10,0,0,0,4,1,4,7
Akroan Hoplite,Medium,"18 (breastplate, shield)",2.3076923076923075,16,16,14,11,14,13,2,0,0,0,0,0,3
Albino Dwarf Spirit Warrior,Medium,13 (hide armor),1.331360946745562,13,13,17,12,14,11,0,3,0,1,0,0,1
Albino Dwarf Warrior,Medium,13 (hide armor),1.331360946745562,13,13,17,12,14,11,0,3,0,1,0,0,0.25
Aldani (Lobsterfolk),Medium,14 (natural armor),2.1745562130177514,13,8,12,10,14,10,0,2,0,0,0,0,1
Alhoon,Medium,15 (natural armor),6.65680473372781,11,12,16,19,17,17,4,6,0,3,1,5,10
Alkilith,Medium,17 (natural armor),7.455621301775148,12,19,22,6,11,7,2,1,0,6,1,3,11
Allip,Medium,13,1.7751479289940828,6,17,10,17,15,16,2,2,0,6,3,9,5
Allosaurus,Large,13 (natural armor),2.2633136094674553,19,13,17,2,12,5,0,1,0,0,0,0,2
Allowak Abominable Yeti,Huge,15 (natural armor),6.079881656804734,24,10,22,16,13,10,0,2,0,0,1,0,9
Allowak Yeti,Large,12 (natural armor),2.2633136094674553,18,13,16,16,12,10,0,2,0,0,1,0,3
Almiraj,Small,13,0.1331360946745562,2,16,10,2,14,10,0,2,0,0,0,0,0
Alseid,Medium,15 (natural armor),0.9763313609467456,15,10,12,13,14,18,0,1,0,1,1,3,1
Alyxian Aboleth,Large,17 (natural armor),5.991124260355029,21,9,15,18,18,18,3,2,0,0,0,0,12
Alyxian the Hunter,Medium,17 (natural armor),7.899408284023668,22,9,20,3,11,1,0,0,0,0,4,6,10
Amber Golem,Large,17 (natural armor),7.899408284023668,22,9,20,3,11,1,0,0,0,0,4,6,10
Ambush Drake,Medium,13 (natural armor),0.9763313609467456,13,15,14,4,11,6,0,2,0,1,0,0,0.5
Amethyst Dragon Wyrmling,Medium,17 (natural armor),3.328402366863905,19,10,17,16,13,17,4,4,0,2,0,2,4
Amethyst Greatwyrm,Gargantuan,21 (natural armor),22.5,28,14,29,30,24,25,4,3,0,0,1,4,26
Amnizu,Medium,21 (natural armor),8.964497041420119,11,13,16,20,12,18,4,1,0,3,2,2,18
Amphisbaena,Medium,14,0.4881656804733728,14,18,12,3,10,3,0,1,0,0,0,0,0.5
Amphisbaena,Huge,12,2.662721893491124,19,14,12,1,10,3,0,1,0,0,0,0,3
Anarch,Medium,13 (hide armor),0.4881656804733728,14,13,12,9,11,10,0,2,0,0,0,0,0.25
Anchorite of Talos,Medium,13 (hide armor),2.57396449704142,16,13,14,9,15,12,0,3,0,0,0,0,3
Ancient Amethyst Dragon,Gargantuan,20 (natural armor),19.704142011834318,26,14,27,26,19,23,4,4,0,2,0,2,23
Ancient Black Dragon,Gargantuan,22 (natural armor),16.286982248520708,27,14,25,16,15,19,4,2,0,0,1,0,21
Ancient Blue Dragon,Gargantuan,22 (natural armor),21.346153846153847,29,10,27,18,17,21,4,2,0,0,1,0,23
Ancient Brass Dragon,Gargantuan,20 (natural armor),13.180473372781064,27,10,25,16,15,19,4,4,0,0,1,0,20
Ancient Bronze Dragon,Gargantuan,22 (natural armor),19.704142011834318,29,10,27,18,17,21,4,3,0,0,1,0,22
Ancient Copper Dragon,Gargantuan,21 (natural armor),15.532544378698224,27,12,25,20,17,19,4,3,0,0,1,0,21
Ancient Crystal Dragon,Gargantuan,20 (natural armor),9.852071005917159,25,12,26,20,16,21,4,3,0,2,0,0,19
Ancient Deep Crow,Huge,18 (natural armor),8.298816568047338,23,16,23,10,15,19,2,2,0,3,0,0,15
Ancient Deep Dragon,Gargantuan,20 (natural armor),8.920118343195266,23,16,20,19,18,21,4,3,0,2,0,3,18
Ancient Dragon Turtle,Gargantuan,22 (natural armor),18.150887573964496,28,12,29,14,19,15,3,1,0,0,2,3,24
Ancient Emerald Dragon,Gargantuan,20 (natural armor),14.733727810650887,25,12,25,20,18,20,4,4,0,2,0,0,21
Ancient Gold Dragon,Gargantuan,22 (natural armor),24.23076923076923,30,14,29,18,17,28,4,4,0,0,1,0,24
Ancient Green Dragon,Gargantuan,21 (natural armor),17.085798816568047,27,12,25,20,17,19,4,5,0,0,1,1,22
Ancient Lunar Dragon,Gargantuan,18 (natural armor),13.180473372781064,27,12,24,12,15,17,2,2,0,0,1,0,19
Ancient Moonstone Dragon,Gargantuan,20 (natural armor),14.644970414201183,22,18,23,20,22,26,3,3,0,0,0,1,21
Ancient Red Dragon,Gargantuan,22 (natural armor),24.23076923076923,30,10,29,18,15,23,4,2,0,0,1,0,24
Ancient Sapphire Dragon,Gargantuan,20 (natural armor),16.420118343195266,27,14,27,21,19,20,4,4,0,2,0,1,22
Ancient Sea Serpent,Gargantuan,17 (natural armor),7.544378698224851,24,15,20,13,16,12,2,2,0,0,1,0,14
Ancient Silver Dragon,Gargantuan,22 (natural armor),21.612426035502956,30,10,29,18,15,23,4,4,0,0,1,0,23
Ancient Solar Dragon,Gargantuan,18 (natural armor),18.860946745562128,28,15,26,17,18,16,4,2,0,0,1,1,21
Ancient Topaz Dragon,Gargantuan,20 (natural armor),12.426035502958579,23,12,23,20,19,20,4,3,0,2,0,0,20
Ancient White Dragon,Gargantuan,20 (natural armor),14.778106508875739,26,10,26,10,13,14,4,2,0,0,1,0,20
Androsphinx,Large,17 (natural armor),8.831360946745562,22,10,20,16,18,23,4,3,0,0,3,2,17
Angry Sorrowsworn,Medium,18 (natural armor),11.316568047337277,17,10,19,8,13,6,0,1,0,3,0,0,13
Anhkolox,Huge,15 (natural armor),6.967455621301775,22,11,18,4,14,2,1,1,0,0,1,4,9
Animated Armor,Medium,18 (natural armor),1.4644970414201182,14,11,13,1,3,1,0,0,0,0,2,8,1
Animated Ballista,Large,15,2.2189349112426036,14,10,10,3,3,1,0,0,0,0,1,7,2
Animated Breath,Large,15 (natural armor; 17 cold form only),4.215976331360946,19,11,18,6,10,5,0,0,0,5,0,6,6
Animated Broom,Small,15 (natural armor),0.7544378698224852,10,17,10,1,5,1,0,0,0,0,2,9,0.25
Animated Chained Library,Large,14 (natural armor),1.997041420118343,15,8,14,1,5,1,0,0,0,0,2,9,1
Animated Drow Statue,Medium,18 (natural armor),1.4644970414201182,14,11,13,1,3,1,0,0,0,0,2,8,1
Animated Glass Statue,Large,10,0.9763313609467456,15,10,15,6,12,7,0,1,0,0,0,6,1
Animated Halberd,Small,15 (natural armor),0.7544378698224852,12,15,11,1,5,1,1,0,0,0,2,7,0.25
Animated Jade Serpent,Medium,14,0.4881656804733728,10,18,13,2,10,3,0,1,0,0,1,1,0.25
Animated Knife,Tiny,17 (natural armor),0.5325443786982248,12,15,11,1,5,1,1,0,0,0,2,7,0.125
Animated Object (Huge),Huge,10 (natural armor),3.5502958579881656,18,6,10,3,3,1,0,0,0,0,0,0,0
Animated Object (Large),Large,10 (natural armor),2.2189349112426036,14,10,10,3,3,1,0,0,0,0,0,0,0
Animated Object (Medium),Medium,13 (natural armor),1.7751479289940828,10,12,10,3,3,1,0,0,0,0,0,0,0
Animated Object (Small),Small,16 (natural armor),1.1094674556213018,6,14,10,3,3,1,0,0,0,0,0,0,0
Animated Object (Tiny),Tiny,18 (natural armor),0.8875739644970414,4,18,10,3,3,1,0,0,0,0,0,0,0
Animated Staff,Medium,17 (natural armor),1.7751479289940828,12,12,10,18,14,10,0,0,0,1,1,0,0
Animated Statue of Lolth,Huge,17 (natural armor),10.207100591715976,22,9,20,3,11,1,0,0,0,0,4,6,11
Animated Stove,Large,17,2.2189349112426036,14,10,10,3,3,1,0,0,0,0,0,0,3
Animated Table,Large,15 (natural armor),1.7307692307692306,18,8,13,1,3,1,0,0,0,0,2,8,2
Animated Tile Chimera,Large,14 (natural armor),5.059171597633136,19,11,19,3,14,10,0,1,0,1,2,5,6
Animated Tree,Huge,16 (natural armor),6.124260355029586,23,8,21,12,16,12,0,0,1,4,0,0,9
Animated Wand,Tiny,18 (natural armor),0.8875739644970414,4,18,10,3,3,1,0,0,0,0,0,0,0
Animatronic Allosaurus,Large,13 (natural armor),2.2633136094674553,19,13,17,2,12,5,0,1,0,0,2,4,2
Ankheg,Large,"14 (natural armor), 11 while prone",1.7307692307692306,17,11,13,1,13,6,0,0,0,0,0,0,2
Ankylosaurus,Huge,15 (natural armor),3.0177514792899407,19,11,15,2,12,5,0,0,0,0,0,0,3
Ankylosaurus Zombie,Huge,14 (natural armor),3.0177514792899407,19,9,15,2,6,3,0,0,0,0,1,1,3
Annis Hag,Large,17 (natural armor),3.994082840236686,21,12,14,13,14,15,1,2,0,1,0,0,6
Anvilwrought Raptor,Tiny,14 (natural armor),0.7988165680473372,12,16,14,3,14,1,0,1,0,0,2,5,0.5
Ape,Medium,12,0.8431952662721893,16,14,14,6,12,7,0,2,0,0,0,0,0.5
Aphemia,Medium,15 (natural armor),2.3076923076923075,13,16,15,13,14,16,2,3,0,1,0,2,5
Apprentice,Medium,10,0.3106508875739645,8,10,9,13,11,12,1,2,0,0,0,0,0
Apprentice Wizard,Medium,10 (13 with mage armor),0.5769230769230769,10,10,10,14,10,11,0,2,0,0,0,0,0.25
Aquatic Ghoul,Medium,12,0.9763313609467456,13,15,10,7,10,6,0,0,0,0,1,3,1
Aquatic Troll,Large,15 (natural armor),3.727810650887574,18,13,20,7,9,7,0,1,0,1,0,0,5
Arasta,Huge,19 (natural armor),13.31360946745562,24,16,23,15,22,17,3,6,0,3,2,1,21
Arcanaloth,Medium,17 (natural armor),4.615384615384615,17,12,14,20,16,17,4,4,0,5,2,2,12
Archaic,Gargantuan,20 (natural armor),10.872781065088757,25,10,24,27,24,20,4,4,0,1,2,7,18
Archdruid,Medium,14 (hide armor),6.834319526627219,14,14,12,12,20,11,2,3,0,0,0,0,12
Archer,Medium,16 (studded leather),3.328402366863905,11,18,16,11,13,10,0,2,0,0,0,0,3
Archmage,Medium,12 (15 with mage armor),4.393491124260355,10,14,12,20,15,16,2,2,0,3,0,0,12
Archon of Falling Stars,Medium,18 (plate),6.390532544378698,20,15,19,15,21,19,4,4,0,0,1,3,12
Archon of the Triumvirate,Medium,18 (plate armor),6.390532544378698,20,15,19,15,21,18,3,2,0,3,0,3,14
Arclight Phoenix,Medium,16,6.301775147928994,15,22,17,5,12,7,1,0,0,3,2,7,12
Armanite,Large,16 (natural armor),4.171597633136095,21,18,21,8,12,13,0,0,0,3,1,1,7
Armored Saber-Toothed Tiger,Large,17 (half plate armor),3.727810650887574,18,14,15,3,12,8,0,2,0,0,0,0,3
Art Elemental Mascot,Small,11,0.7988165680473372,6,13,12,8,11,15,0,1,0,2,1,1,0.25
Ash Zombie,Medium,8,0.9763313609467456,13,6,16,3,6,5,1,0,0,0,1,1,0.25
Ashen Animated Armor,Medium,18 (natural armor),1.4644970414201182,14,11,13,1,3,1,0,0,0,0,3,8,1
Ashen Flying Sword,Small,17 (natural armor),0.7544378698224852,12,15,11,1,5,1,1,0,0,0,3,7,0.25
Ashen Heir Anarchist,Medium,13 (chain shirt),1.198224852071006,10,10,12,13,16,13,0,3,0,0,0,0,2
Ashen Heir Assassin,Medium,15 (studded leather),3.4615384615384612,11,16,14,13,11,10,2,4,0,1,0,0,8
Ashen Heir Mage,Medium,12 (15 with mage armor),1.7751479289940828,9,14,11,17,12,11,2,2,0,0,0,0,6
Ashen Heir Veteran,Medium,17 (splint armor),2.57396449704142,16,13,14,10,11,10,0,2,0,0,0,0,3
Ashen Knight,Medium,18 (plate armor),2.3076923076923075,16,11,14,11,11,15,2,0,0,0,1,0,3
Ashen Rider,Medium,18 (plate),7.899408284023668,20,16,19,15,21,18,4,3,0,0,1,3,16
Ashen Shambling Mound,Large,15 (natural armor),6.035502958579881,18,8,16,5,10,5,0,1,0,1,2,3,5
Ashen Veteran,Medium,17 (splint armor),2.57396449704142,16,13,14,10,11,10,0,2,0,0,1,0,3
Ashen Warhorse,Large,11,0.8431952662721893,18,12,13,2,12,7,0,0,0,0,1,0,0.5
Aspect of Bahamut,Gargantuan,23 (natural armor),25.96153846153846,30,18,29,25,28,30,4,3,0,0,7,5,30
Aspect of Tiamat,Gargantuan,23 (natural armor),25.473372781065088,30,14,30,21,20,26,4,2,0,0,7,6,30
Assassin,Medium,15 (studded leather),3.4615384615384612,11,16,14,13,11,10,2,4,0,1,0,0,8
Assassin Vine,Large,13 (natural armor),3.7721893491124256,18,10,16,1,10,1,0,0,0,2,0,4,3
Astral Blight,Medium,12 (natural armor),1.1538461538461537,16,8,14,6,10,3,0,0,0,2,0,0,1
Astral Dreadnought,Gargantuan,20 (natural armor),13.180473372781064,28,7,25,5,14,18,2,1,0,3,0,8,21
Astral Elf Aristocrat,Medium,16 (elven chain),4.571005917159763,11,14,10,21,18,18,3,4,0,0,0,0,8
Astral Elf Commander,Medium,17 (half plate),6.346153846153846,12,15,13,18,18,18,4,4,0,0,0,0,7
Astral Elf Honor Guard,Medium,17 (half plate),4.127218934911243,14,15,12,17,16,16,2,3,0,0,0,0,5
Astral Elf Star Priest,Medium,13 (chain shirt),3.994082840236686,11,11,10,16,20,17,3,2,0,0,0,0,5
Astral Elf Warrior,Medium,16 (breastplate),2.57396449704142,12,15,10,16,16,15,2,2,0,0,0,0,3
Atropal,Huge,7,9.985207100591715,19,5,22,25,19,24,2,0,1,0,4,4,13
Aurak Draconian,Medium,17 (natural armor),2.9733727810650885,13,14,16,16,11,17,3,1,0,0,0,1,6
Aurelia,Medium,22 (natural armor),12.736686390532544,26,24,25,17,25,30,3,2,0,4,1,5,23
Aurochs,Large,11 (natural armor),1.6863905325443787,20,10,19,2,12,5,0,0,0,0,0,0,2
Aurumvorax,Small,15 (natural armor),1.5976331360946745,14,13,12,3,12,6,2,2,0,0,0,1,2
Aurumvorax Den Leader,Medium,16 (natural armor),2.3076923076923075,18,14,14,3,13,8,2,2,0,0,0,1,4
Autognome,Small,16 (natural armor),1.7307692307692306,13,6,16,4,11,6,3,0,0,0,1,3,2
Autumn Eladrin,Medium,19 (natural armor),7.322485207100591,12,16,16,14,17,18,0,2,0,1,0,0,10
Avatar of Death,Medium,20,0.0,16,16,16,16,16,16,0,0,0,0,2,6,0
Awakened Brown Bear,Large,11 (natural armor),1.5088757396449703,19,10,16,10,13,7,0,1,0,0,0,0,1
Awakened Elk,Large,10,0.5769230769230769,16,10,12,10,10,6,0,0,0,0,0,0,0.25
Awakened Giant Wasp,Medium,12,0.5769230769230769,10,14,10,10,10,3,0,0,0,0,0,0,0.5
Awakened Rat,Tiny,10,0.04437869822485207,2,11,9,10,10,4,0,0,0,0,0,0,0
Awakened Shrub,Small,9,0.4437869822485207,3,8,11,10,10,6,0,0,1,1,0,0,0
Awakened Tree,Huge,13 (natural armor),2.618343195266272,19,6,15,10,10,7,0,0,1,2,0,0,2
Awakened White Moose,Large,11 (natural armor),3.0177514792899407,19,11,16,10,12,6,0,0,0,0,0,0,3
Awakened Zurkhwood,Huge,13 (natural armor),2.618343195266272,19,6,15,10,10,7,0,0,1,2,0,0,2
Axe Beak,Large,11,0.8431952662721893,14,12,12,2,10,5,0,0,0,0,0,0,0.25
Axe of Mirabar Soldier,Medium,18 (plate armor),2.9733727810650885,16,13,16,10,11,10,0,2,0,1,0,0,3
Azer,Medium,"17 (natural armor, shield)",1.7307692307692306,17,12,15,12,13,10,1,0,0,0,2,1,2
B'rohg,Huge,14 (natural armor),4.0828402366863905,21,14,21,5,10,7,0,2,0,0,0,0,6
Baaz Draconian,Medium,14 (natural armor),0.9763313609467456,13,11,13,8,8,10,0,0,0,0,0,0,0.5
Babau,Medium,16 (natural armor),3.6390532544378695,19,16,16,11,12,13,0,2,0,5,1,1,4
Baboon,Small,12,0.1331360946745562,8,14,11,4,12,6,0,0,0,0,0,0,0
Badger,Tiny,10,0.1331360946745562,4,11,12,2,12,5,0,0,0,0,0,0,0
Bael,Large,18 (plate),8.38757396449704,24,17,20,21,24,24,4,3,0,3,2,4,19
Bakunawa,Gargantuan,15 (natural armor),6.65680473372781,21,12,15,14,17,16,3,0,0,2,0,0,12
Balhannoth,Large,17 (natural armor),5.059171597633136,17,8,18,6,15,8,1,1,0,0,0,1,11
Balor,Huge,19 (natural armor),11.627218934911243,26,15,22,20,16,22,4,0,0,4,2,1,19
Banderhobb,Large,15 (natural armor),3.727810650887574,20,12,20,11,14,8,0,2,0,0,0,2,5
Bandit,Medium,12 (leather armor),0.4881656804733728,11,12,12,10,10,10,0,0,0,0,0,0,0.125
Bandit Captain,Medium,15 (studded leather),2.8846153846153846,15,16,14,14,11,14,3,2,0,0,0,0,2
Banshee,Medium,12,2.57396449704142,1,14,10,12,11,17,2,0,0,6,3,9,4
Baphomet,Huge,22 (natural armor),14.15680473372781,30,14,26,18,24,16,3,2,0,3,3,4,23
Barbed Devil,Medium,15 (natural armor),4.881656804733727,16,17,18,12,14,14,4,3,0,3,2,1,5
Bard,Medium,15 (chain shirt),1.952662721893491,11,14,12,10,13,14,2,3,0,0,0,0,2
Barghest,Large,17 (natural armor),2.662721893491124,19,15,14,13,12,14,0,4,0,4,2,1,4
Barlgura,Large,15 (natural armor),3.0177514792899407,18,15,16,7,14,9,2,2,0,3,1,1,5
Barovian Commoner,Medium,10,0.17751479289940827,10,10,10,10,10,10,0,0,0,0,0,0,0
Barovian Scout,Medium,13 (leather armor),0.7100591715976331,11,14,12,11,13,11,0,4,0,0,0,0,0.5
Barovian Witch,Medium,10,0.7100591715976331,7,11,13,14,11,12,0,2,0,0,0,0,0.5
Basilisk,Medium,15 (natural armor),2.3076923076923075,16,8,15,2,8,7,0,0,0,0,0,0,3
Bat,Tiny,12,0.04437869822485207,2,15,8,2,12,4,0,0,0,0,0,0,0
Battleforce Angel,Medium,18 (plate armor),2.9289940828402363,16,12,13,11,17,18,2,2,0,2,0,3,5
Battlehammer Dwarf,Medium,13 (leather armor),0.7100591715976331,11,14,12,11,13,11,0,4,0,1,0,0,0.5
Bearded Devil,Medium,13 (natural armor),2.3076923076923075,16,15,15,9,11,11,3,0,0,3,2,1,3
Beast of the Land,Medium,13 + PB (natural armor),0.22189349112426035,14,14,15,8,14,11,0,0,0,0,0,0,0
Beast of the Sea,Medium,13 + PB (natural armor),0.22189349112426035,14,14,15,8,14,11,0,0,0,0,0,0,0
Beast of the Sky,Small,13 + PB (natural armor),0.17751479289940827,6,16,13,8,14,11,0,0,0,0,0,0,0
Behir,Huge,17 (natural armor),7.455621301775148,23,16,18,7,14,12,0,2,0,0,1,0,11
Beholder,Large,18 (natural armor),7.988165680473372,10,14,18,17,15,17,3,1,0,0,0,1,13
Beholder Zombie,Large,15 (natural armor),4.127218934911243,10,8,16,3,8,5,1,0,0,0,1,2,5
Belashyrra,Medium,19 (natural armor),13.49112426035503,24,21,20,25,22,23,3,2,0,2,0,6,22
Beledros Witherbloom,Gargantuan,22 (natural armor),19.704142011834318,28,14,27,18,28,17,4,4,0,0,2,1,24
Berbalang,Medium,14 (natural armor),2.1745562130177514,9,16,9,17,11,10,2,5,0,0,0,0,2
Berserker,Medium,13 (hide armor),2.9733727810650885,16,12,17,9,11,9,0,0,0,0,0,0,2
Bestial Spirit,Small,11 + the level of the spell (natural armor),0.8875739644970414,18,11,16,4,14,5,0,0,0,0,0,0,0
Bheur Hag,Medium,17 (natural armor),4.038461538461538,13,16,14,12,13,16,1,4,0,0,1,0,7
Big Xorn,Large,19 (natural armor),4.571005917159763,20,10,22,11,10,11,0,2,0,1,0,0,8
Biomancer,Medium,17 (splint armor),4.881656804733727,10,15,14,20,14,15,2,2,0,0,0,0,10
Black Abishai,Medium,15 (natural armor),2.57396449704142,14,17,14,13,16,11,2,2,0,3,3,1,7
Black Bear,Medium,11 (natural armor),0.8431952662721893,15,10,14,2,12,7,0,1,0,0,0,0,0.5
Black Dragon Wyrmling,Medium,17 (natural armor),1.4644970414201182,15,14,13,10,11,13,4,2,0,0,1,0,2
Black Earth Guard,Medium,18 (plate armor),1.7307692307692306,17,11,14,10,10,9,0,2,0,0,0,0,2
Black Earth Priest,Medium,17 (splint armor),1.997041420118343,15,11,14,12,10,16,0,3,0,0,0,0,3
Black Gauntlet of Bane,Medium,16 (chain mail),2.2633136094674553,18,11,18,12,15,18,1,2,0,0,0,1,6
Black Greatwyrm,Gargantuan,22 (natural armor),23.653846153846153,30,14,30,21,20,26,4,3,0,0,1,3,27
Black Pudding,Large,7,3.7721893491124256,16,5,16,1,6,1,0,0,0,0,4,6,4
Blackguard,Medium,18 (plate),5.281065088757396,18,11,18,11,14,15,2,3,0,0,0,0,8
Blink Dog,Medium,13,0.9763313609467456,12,17,12,10,13,11,0,2,0,0,0,0,0.25
Blistercoil Weird,Medium,13,1.997041420118343,16,16,15,5,10,7,0,0,0,4,1,8,4
Blood Drinker Vampire,Medium,16 (natural armor),3.994082840236686,16,18,17,16,13,19,3,3,0,3,0,0,8
Blood Hawk,Small,12,0.3106508875739645,6,14,10,3,14,5,0,1,0,0,0,0,0.125
Blood Hunter,Medium,16 (half plate),2.8846153846153846,18,12,15,9,16,11,2,3,0,0,0,0,5
Blood Witch,Medium,12 (15 with mage armor),3.4615384615384612,16,14,15,13,9,19,2,4,0,1,0,0,7
Blood-Toll Harpy,Medium,11,0.3994082840236686,12,13,10,6,11,13,0,1,0,0,0,0,0.125
Bloodfray Giant,Huge,14 (natural armor),4.571005917159763,23,9,20,7,8,9,3,2,0,0,0,0,6
Blue Abishai,Medium,19 (natural armor),8.964497041420119,15,14,17,22,23,18,2,1,0,3,3,1,17
Blue Dragon Wyrmling,Medium,17 (natural armor),2.3076923076923075,17,10,15,12,11,15,4,2,0,0,1,0,3
Blue Greatwyrm,Gargantuan,22 (natural armor),23.653846153846153,30,14,30,21,20,26,4,3,0,0,1,3,27
Blue Slaad,Large,15 (natural armor),5.458579881656805,20,15,18,7,7,9,0,1,0,5,0,0,7
Boar,Medium,11 (natural armor),0.4881656804733728,13,11,12,2,9,5,0,0,0,0,0,0,0.25
Bodak,Medium,15 (natural armor),2.57396449704142,15,16,15,7,12,12,0,2,0,4,2,3,6
Bodytaker Plant,Huge,16 (natural armor),4.0828402366863905,18,8,20,14,14,18,0,0,1,0,0,4,7
Boggle,Small,14,0.7988165680473372,8,18,13,6,12,7,0,3,0,1,0,0,0.125
Bone Devil,Large,19 (natural armor),6.301775147928994,18,16,18,13,14,16,3,2,0,3,2,1,9
Bone Knight,Medium,20 (bonecraft armor),3.727810650887574,18,13,14,12,14,16,2,3,0,2,0,0,5
Bone Naga (Guardian),Large,15 (natural armor),2.57396449704142,15,16,12,15,15,16,0,0,0,0,1,4,4
Bone Naga (Spirit),Large,15 (natural armor),2.57396449704142,15,16,12,15,15,16,0,0,0,0,1,4,4
